benchmark,method,path_count_limit,criticality_threshold,slack_margin,endpoint_weight,path_weight,buffer_drive_pref,max_fanout_limit,clock_uncertainty,setup_path_weight,exploration_factor
simple_design,choa,10.0,0.4649346138320488,-0.09467866843669011,0.11314289508419195,3.72417554197697,5.2759688596830525,13.864600648142059,0.0,2.8303981727537355,0.25966471344824715
simple_design,choa_memory,10.0,0.4649346138320488,-0.09467866843669011,0.11314289508419195,3.72417554197697,5.2759688596830525,13.864600648142059,0.0,2.8303981727537355,0.25966471344824715
synth_small,choa,352.8564955672673,0.2658699614595196,0.4691763773477239,7.809633949261366,7.197212872674056,5.044253519294098,14.339836530412793,0.04819548107674965,9.035763725784033,0.965974950683861
synth_small,choa_memory,352.8564955672673,0.2658699614595196,0.4691763773477239,7.809633949261366,7.197212872674056,5.044253519294098,14.339836530412793,0.04819548107674965,9.035763725784033,0.965974950683861
synth_medium,choa,352.8564955672673,0.2658699614595196,0.4691763773477239,7.809633949261366,7.197212872674056,5.044253519294098,14.339836530412793,0.04819548107674965,9.035763725784033,0.965974950683861
synth_medium,choa_memory,352.8564955672673,0.2658699614595196,0.4691763773477239,7.809633949261366,7.197212872674056,5.044253519294098,14.339836530412793,0.04819548107674965,9.035763725784033,0.965974950683861
synth_large,choa,10.0,0.0,-0.5,0.1,0.1,1.0,1.0,0.0,0.1,0.1
synth_large,choa_memory,10.0,0.0,-0.5,0.1,0.1,1.0,1.0,0.0,0.1,0.1
synth_tight,choa,10.0,0.0,0.07968799359193424,0.1,2.5554284336541775,1.0,1.0,0.0,0.1,0.1
synth_tight,choa_memory,10.0,0.0,0.07968799359193424,0.1,2.5554284336541775,1.0,1.0,0.0,0.1,0.1
